epoch,avg_loss,accuracy
1,1.9369220498167439,0.1134
5,1.099744255160108,0.1333
10,0.9612094266915027,0.1508
15,0.8873991789641203,0.1493
20,0.8056780026282793,0.1516
25,0.7612326822163146,0.1632
30,0.6907843130606192,0.1636
35,0.6338563612949701,0.168
40,0.5933060822663484,0.1729
45,0.5641964100025318,0.1756
50,0.5289117318612558,0.1763
55,0.8159480153778453,0.1482
60,0.7575125046718267,0.1477
65,0.7213973999023438,0.1598
70,0.6818728034878955,0.1629
75,0.6367933956193336,0.169
80,0.6028973143777729,0.1677
85,0.5523470183949412,0.1723
90,0.5229975382486979,0.1764
95,0.49283774105119116,0.1774
100,0.47528292809003664,0.1799
105,0.7344645747432003,0.1599
110,0.7238137515974633,0.1528
115,0.7025165793336468,0.1616
120,0.6420411474910783,0.1601
125,0.6057943179283614,0.1667
130,0.5355988961678965,0.1677
135,0.49743087203414355,0.1751
140,0.4682701958550347,0.1768
145,0.43237747380762925,0.1788
150,0.40914879316165126,0.1814
155,0.7370907347879292,0.1657
