epoch,avg_loss,accuracy
1,2.3234724778395432,0.0812
5,1.4145303579477164,0.1035
10,1.2691298264723558,0.105
15,1.1931200467623198,0.1039
20,1.1271092341496394,0.1085
25,1.0779003436748797,0.1131
30,1.0251537616436297,0.1147
35,0.9638722346379207,0.1214
40,0.91926756638747,0.1257
45,0.8904217646672176,0.1271
50,0.8657953702486478,0.1268
55,1.1165422879732572,0.1053
60,1.0726929884690506,0.1049
65,1.0308863713191105,0.1103
70,0.9811732952411358,0.1077
75,0.9681190490722656,0.1186
80,0.9157879169170673,0.1214
85,0.8910185593825121,0.1269
90,0.8263409541203426,0.1272
95,0.7806535574106069,0.1324
100,0.7791167626014123,0.1263
105,1.036761474609375,0.1035
110,0.9978656475360577,0.1157
115,0.9732232900766226,0.1157
120,0.9513536893404447,0.1171
125,0.8983014620267428,0.1208
130,0.8560734088604267,0.1222
