epoch,avg_loss,accuracy
1,3.69198491023137,0.1891
5,2.8042005881285057,0.2412
10,2.5855916341145835,0.2804
15,2.4768524169921875,0.2919
20,2.3601934970953526,0.3112
25,2.2584377191005607,0.3306
30,2.1886995755709133,0.3204
35,2.1125924526116786,0.3468
40,2.045648623735477,0.3602
45,1.9858768169696515,0.3687
50,1.975649124536759,0.3608
55,2.3306309626652646,0.288
60,2.288761627979768,0.3148
65,2.2173929459009414,0.3188
70,2.139829782339243,0.3196
75,2.071097349509215,0.342
80,2.009291233160557,0.3489
85,1.9363297682542067,0.3566
90,1.8797564384264824,0.3633
95,1.8257321088741987,0.3837
100,1.8055601853590746,0.3819
105,2.218669597919171,0.3138
110,2.174640166453826,0.2753
115,2.104040292593149,0.3258
120,2.044102595402644,0.3365
125,1.9860321436172876,0.3445
130,1.9312787178235176,0.3525
135,1.8605845524714544,0.3572
140,1.8006370740059094,0.3721
145,1.7281014858148036,0.385
150,1.7168948833759015,0.3838
155,2.1412406334510217,0.2475
160,2.1063956236227965,0.2921
165,2.0313155345427685,0.3321
