epoch,avg_loss,accuracy
1,2.9076221955128205,0.2738
5,2.2484811636117787,0.3837
10,2.089728096203926,0.415
15,2.0042959359975963,0.4303
20,1.9249661959134616,0.4464
25,1.8413049942407853,0.4587
30,1.7752561911558493,0.4729
35,1.6804881560496794,0.4987
40,1.6042759039463141,0.5138
45,1.5447384565304487,0.5326
50,1.510696019881811,0.5324
55,1.9539458446013622,0.4137
60,1.90117672651242,0.4356
65,1.8455018654847757,0.4515
70,1.7962907840044071,0.4693
75,1.7286439553285255,0.4594
80,1.665785882411859,0.4894
85,1.58931399614383,0.5159
90,1.5083641639122596,0.531
95,1.4613168569711539,0.5402
100,1.4140740810296475,0.5442
105,1.891754150390625,0.4342
110,1.8590101975661057,0.4359
115,1.805765631260016,0.4331
120,1.748719983223157,0.4815
125,1.694569592598157,0.4847
130,1.6281603690905448,0.4697
135,1.5482794345953526,0.5245
140,1.4795194185697116,0.5409
145,1.4321644318409454,0.5531
150,1.3937789525741187,0.5502
155,1.879254150390625,0.4124
160,1.813846216446314,0.4301
165,1.7855327899639424,0.4631
170,1.735998065655048,0.4747
175,1.6709945287459935,0.4901
180,1.6059240096654648,0.4938
185,1.5286151592548076,0.522
190,1.462833032852564,0.526
195,1.4026941543970353,0.5446
200,1.3768089881310097,0.5458
