epoch,avg_loss,accuracy
0,4.660009139623398,0.0104
10,4.481380364833734,0.0319
20,4.357892158703926,0.0631
30,4.286875798152043,0.0906
40,4.216343806340144,0.09
50,4.167679224258814,0.1014
60,4.125732813126001,0.1125
70,4.087230584560296,0.1249
80,4.053912431765825,0.1465
90,4.029406425280449,0.1475
100,3.9982769305889425,0.1551
110,3.9680340106670675,0.1521
120,3.937048105093149,0.1798
130,3.91701409755609,0.195
140,3.885225344926883,0.1973
150,3.8580040564903846,0.1906
160,3.8295381986177883,0.2163
