epoch,avg_loss,accuracy
1,4.5677293043870195,0.0454
10,2.968021960136218,0.2732
20,2.327095696864984,0.3731
30,1.9831857534555288,0.4461
40,1.7555768917768428,0.4893
50,1.6120065542367787,0.5033
60,1.484353246444311,0.5313
70,1.3683900490785257,0.5336
80,1.2767524132361778,0.5515
90,1.1803534092047276,0.56
100,1.079781713241186,0.5736
110,0.9699156932341747,0.5728
120,0.875430689102564,0.5883
130,0.7926709297375801,0.5995
140,0.7215526091746794,0.5898
150,0.6744090544871795,0.6059
151,0.6600925543369391,0.6005
152,0.667110110551883,0.5958
153,0.6611081636868991,0.5989
154,0.6510633810972556,0.6017
155,0.6624598576472356,0.6028
156,0.6485385210086138,0.6
157,0.6466739361102765,0.5921
158,0.6539446317232572,0.6014
159,0.6521878756009616,0.608
160,0.6582370073367387,0.6011
