epoch,avg_loss,accuracy
0,4.654607528295273,0.0169
10,3.4256646572015224,0.1834
20,2.8156350942758412,0.2957
30,2.4355721106896033,0.3669
40,2.173121330065605,0.3949
50,2.0005796383588743,0.4291
60,1.8730046198918269,0.4397
70,1.7701576428535657,0.4418
80,1.6558294051732771,0.4724
90,1.5749552800105169,0.4737
100,1.5094228891225963,0.4672
110,1.4202000544621394,0.4892
120,1.3314000643216646,0.4838
130,1.2699168278620794,0.4912
140,1.1888959835737178,0.4871
150,1.1221208816919572,0.5122
160,1.0502986418895233,0.5052
