epoch,avg_loss,accuracy
1,2.0395233936798878,0.2896
5,1.6719601362179488,0.4131
10,1.5340059720552885,0.462
15,1.4574087289663462,0.4864
20,1.3898029033954327,0.5028
25,1.329593756260016,0.5181
30,1.2846835405398638,0.5306
35,1.2269373184595354,0.558
40,1.1895865415915465,0.5645
45,1.153396997696314,0.5703
50,1.1271500025040064,0.5928
55,1.3293165940504807,0.5213
60,1.3048874292618189,0.5399
65,1.25799317971254,0.5507
70,1.2339058900490785,0.5517
75,1.1952870686848958,0.5617
80,1.1492343217898637,0.5733
85,1.1125997690054086,0.5994
90,1.062863002679287,0.6233
95,1.0213828844901842,0.6194
100,1.0143671280298479,0.6328
105,1.2372082050030049,0.543
110,1.2201233692658253,0.5819
115,1.1842357146434295,0.5582
120,1.1433891100761218,0.5955
125,1.1082090720152245,0.5782
130,1.0709712884364984,0.5996
135,1.0398169884314903,0.5992
140,0.9934372339493189,0.6373
145,0.961793948442508,0.648
150,0.9452808086688702,0.6479
155,1.1912971692207532,0.5736
160,1.175545403896234,0.5908
165,1.1335259853265225,0.5812
170,1.1122858292017228,0.6059
175,1.082200426933093,0.6121
180,1.041730440579928,0.6185
185,0.9986570700620994,0.635
190,0.9641564002403846,0.6539
195,0.9274846003605769,0.6549
200,0.9149277907151442,0.6628
