epoch,avg_loss,accuracy
1,1.9382020607972756,0.3352
5,1.4451790051582531,0.4996
10,1.2227726080478767,0.5793
15,1.0770598582732371,0.6244
20,0.9854992206280048,0.6479
25,0.9052913567958734,0.6551
30,0.8481608072916667,0.6952
35,0.7964081593048878,0.7049
40,0.7479596260266427,0.734
45,0.7014160938752003,0.7373
50,0.6829810509314904,0.7454
55,0.8971226618840145,0.6789
60,0.8471631954877804,0.6707
65,0.8077862079326923,0.7091
70,0.7783260247646234,0.7236
75,0.7400731795873398,0.7159
80,0.6943319467397836,0.7375
85,0.6556862464317909,0.749
90,0.6191202016977163,0.7721
95,0.5866416735526843,0.7661
100,0.5704967009715545,0.7772
105,0.8057011530949519,0.7102
110,0.7708240215594951,0.7043
115,0.752061032026242,0.7129
120,0.7214292868589743,0.7347
125,0.6854325514573317,0.7403
130,0.6496162610176283,0.7502
135,0.6117650349934896,0.761
140,0.5765623434995993,0.7754
145,0.5428829877804487,0.7892
150,0.525061269906851,0.7868
155,0.7683221279046475,0.7109
